cafe_id,kakao_place_id,kakao_name,naver_place_id,naver_name,address,latitude,longitude,phone,rating,review_count,business_hours,close_hour,collected_reviews,place_kind,kakao_place_url,naver_map_url,name_similarity,match_status
C001,507340095,커스텀커피 역북점,1764797627.0,커스텀커피 역북점,경기 용인시 처인구 명지로16번길 9-11,37.23344454359378,127.18713223273777,031-321-8662,4.79,933.0,08:40 ~ 23:00,23.0,12,restaurant,http://place.map.kakao.com/507340095,https://map.naver.com/p/entry/place/1764797627,1.0,matched
C002,2136620254,카페만월경 용인명지대역점,1675991275.0,카페만월경 용인명지대역점,경기 용인시 처인구 명지로16번길 26,37.235055795182,127.187016761122,,0.0,3.0,,,2,restaurant,http://place.map.kakao.com/2136620254,https://map.naver.com/p/entry/place/1675991275,1.0,matched
C003,1130012648,어웨이크키친 역북점,,,경기 용인시 처인구 명지로16번길 9-11,37.2333004374047,127.187093562014,031-339-9130,,,,,0,,http://place.map.kakao.com/1130012648,,0.0,not_found
C004,554559796,밀크팜747,1070270722.0,밀크팜74.7,경기 용인시 처인구 명지로 24,37.23397204695048,127.18802266757662,031-335-8830,0.0,187.0,10:30 ~ 21:00,21.0,14,restaurant,http://place.map.kakao.com/554559796,https://map.naver.com/p/entry/place/1070270722,1.0,matched
C005,189776326,홀홀베이크샵,2025484015.0,홀홀베이크샵,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,0.0,34.0,12:00 ~ 21:00,21.0,11,restaurant,http://place.map.kakao.com/189776326,https://map.naver.com/p/entry/place/2025484015,1.0,matched
C006,2082218328,달롱도르요거트아이스크림 역북점,1889295145.0,달롱도르 요거트 아이스크림 역북점,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,0.0,6.0,16:00 ~ 02:00,26.0,6,restaurant,http://place.map.kakao.com/2082218328,https://map.naver.com/p/entry/place/1889295145,1.0,matched
C007,95154498,브라운리퀴드,1224940488.0,브라운리퀴드,경기 용인시 처인구 명지로16번길 9-11,37.233258918252,127.187138535349,,4.76,189.0,10:00 ~ 21:00,21.0,9,restaurant,http://place.map.kakao.com/95154498,https://map.naver.com/p/entry/place/1224940488,1.0,matched
C008,636039494,달다미로,1480248650.0,달다미로,경기 용인시 처인구 명지로16번길 26,37.23512586862744,127.18657743306396,010-2976-2622,5.0,208.0,12:30 ~ 19:00,19.0,11,restaurant,http://place.map.kakao.com/636039494,https://map.naver.com/p/entry/place/1480248650,1.0,matched
C009,1281803174,꿀잼키즈룸 용인역북점,1298264758.0,꿀잼키즈룸 용인역북점,경기 용인시 처인구 명지로16번길 9-11,37.2332508462656,127.187114850537,0507-1335-0359,0.0,212.0,09:00 ~ 23:00,23.0,25,restaurant,http://place.map.kakao.com/1281803174,https://map.naver.com/p/entry/place/1298264758,1.0,matched
C010,1662797290,반달커피 역북점,1955557327.0,반달커피 마평점,경기 용인시 처인구 명지로 24,37.23397429887613,127.18830665420272,010-3954-4443,4.56,76.0,10:00 ~ 20:00,20.0,3,restaurant,http://place.map.kakao.com/1662797290,https://map.naver.com/p/entry/place/1955557327,0.714,matched
C011,42356985,더벤티 용인역북점,1482036986.0,더벤티 용인역북점,경기 용인시 처인구 명지로 24,37.23373647219192,127.18827563626373,031-334-9146,0.0,515.0,09:00 ~ 21:30,21.5,9,restaurant,http://place.map.kakao.com/42356985,https://map.naver.com/p/entry/place/1482036986,1.0,matched
C012,1301155149,19티 용인역북점,,,경기 용인시 처인구 명지로40번길 16,37.2328230221507,127.187005611662,031-336-1910,,,,,0,,http://place.map.kakao.com/1301155149,,0.0,not_found
C013,131712545,요거트월드 역북점,1787771281.0,요거트월드 역북점,경기 용인시 처인구 명지로40번길 16,37.232823919623,127.187007867661,,0.0,63.0,11:00 ~ 01:00,25.0,9,restaurant,http://place.map.kakao.com/131712545,https://map.naver.com/p/entry/place/1787771281,1.0,matched
C014,1549783258,루이지나,,,경기 용인시 처인구 중부대로 1294,37.23496174749329,127.18836771017152,,,,,,0,,http://place.map.kakao.com/1549783258,,0.0,not_found
C015,732862533,컴포즈커피 용인명지대점,1183157490.0,컴포즈커피 용인명지대점,경기 용인시 처인구 명지로40번길 16,37.23271485794658,127.1870301361,031-339-2151,4.63,992.0,09:00 ~ 18:00,18.0,6,restaurant,http://place.map.kakao.com/732862533,https://map.naver.com/p/entry/place/1183157490,1.0,matched
C016,1744611078,몬데랜시,1830017295.0,몬데랜시 역북동 디저트카페,경기 용인시 처인구 명지로40번길 8,37.23285781561516,127.18779452217608,,0.0,74.0,11:00 ~ 15:00,15.0,12,restaurant,http://place.map.kakao.com/1744611078,https://map.naver.com/p/entry/place/1830017295,0.5,ambiguous
C017,560353,공차 용인역북점,1742653002.0,공차 용인역북점,경기 용인시 처인구 명지로16번길 9-23,37.2330994821016,127.188244753013,031-321-0446,4.44,1628.0,10:00 ~ 22:00,22.0,7,restaurant,http://place.map.kakao.com/560353,https://map.naver.com/p/entry/place/1742653002,1.0,matched
