cafe_id,kakao_place_id,kakao_name,address,latitude,longitude,phone,kakao_place_url
C001,507340095,커스텀커피 역북점,경기 용인시 처인구 명지로16번길 9-11,37.233444543593784,127.18713223273775,031-321-8662,http://place.map.kakao.com/507340095
C002,2136620254,카페만월경 용인명지대역점,경기 용인시 처인구 명지로16번길 26,37.235055795182,127.187016761122,,http://place.map.kakao.com/2136620254
C003,1130012648,어웨이크키친 역북점,경기 용인시 처인구 명지로16번길 9-11,37.2333004374047,127.187093562014,031-339-9130,http://place.map.kakao.com/1130012648
C004,554559796,밀크팜747,경기 용인시 처인구 명지로 24,37.23397204695048,127.18802266757662,031-335-8830,http://place.map.kakao.com/554559796
C005,189776326,홀홀베이크샵,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,http://place.map.kakao.com/189776326
C006,2082218328,달롱도르요거트아이스크림 역북점,경기 용인시 처인구 명지로 24,37.2339720469395,127.188022667575,,http://place.map.kakao.com/2082218328
C007,95154498,브라운리퀴드,경기 용인시 처인구 명지로16번길 9-11,37.233258918252,127.187138535349,,http://place.map.kakao.com/95154498
C008,636039494,달다미로,경기 용인시 처인구 명지로16번길 26,37.23512586862744,127.18657743306395,010-2976-2622,http://place.map.kakao.com/636039494
C009,1281803174,꿀잼키즈룸 용인역북점,경기 용인시 처인구 명지로16번길 9-11,37.2332508462656,127.187114850537,0507-1335-0359,http://place.map.kakao.com/1281803174
C010,1662797290,반달커피 역북점,경기 용인시 처인구 명지로 24,37.23397429887613,127.18830665420273,010-3954-4443,http://place.map.kakao.com/1662797290
C011,42356985,더벤티 용인역북점,경기 용인시 처인구 명지로 24,37.23373647219192,127.18827563626373,031-334-9146,http://place.map.kakao.com/42356985
C012,1301155149,19티 용인역북점,경기 용인시 처인구 명지로40번길 16,37.2328230221507,127.187005611662,031-336-1910,http://place.map.kakao.com/1301155149
C013,131712545,요거트월드 역북점,경기 용인시 처인구 명지로40번길 16,37.232823919623,127.187007867661,,http://place.map.kakao.com/131712545
C014,1549783258,루이지나,경기 용인시 처인구 중부대로 1294,37.23496174749329,127.18836771017153,,http://place.map.kakao.com/1549783258
C015,732862533,컴포즈커피 용인명지대점,경기 용인시 처인구 명지로40번길 16,37.23271485794658,127.18703013609999,031-339-2151,http://place.map.kakao.com/732862533
C016,1744611078,몬데랜시,경기 용인시 처인구 명지로40번길 8,37.232857815615155,127.18779452217609,,http://place.map.kakao.com/1744611078
C017,560353,공차 용인역북점,경기 용인시 처인구 명지로16번길 9-23,37.2330994821016,127.188244753013,031-321-0446,http://place.map.kakao.com/560353
C018,2099620703,러블리파이마카롱,경기 용인시 처인구 명지로40번길 10,37.23266283398739,127.18745033732498,031-334-0010,http://place.map.kakao.com/2099620703
C019,417226483,다다온족욕찜질카페,경기 용인시 처인구 명지로40번길 8,37.232702907844526,127.1877490623719,031-326-0300,http://place.map.kakao.com/417226483
