cafe_id,search_query,naver_place_id,naver_name,rating,review_count,business_hours,close_hour,naver_map_url,place_kind,collected_reviews
C001,커스텀커피 역북점 용인시 처인구,1764797627,커스텀커피 역북점,4.79,933.0,08:40 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1764797627,restaurant,12
C002,카페만월경 용인명지대역점 용인시 처인구,1675991275,카페만월경 용인명지대역점,0.0,3.0,,,https://map.naver.com/p/entry/place/1675991275,restaurant,2
C003,어웨이크키친 역북점 용인시 처인구,,,,,,,,,0
C004,밀크팜747 용인시 처인구,1070270722,밀크팜74.7,0.0,187.0,10:30 ~ 21:00,21.0,https://map.naver.com/p/entry/place/1070270722,restaurant,14
C005,홀홀베이크샵 용인시 처인구,2025484015,홀홀베이크샵,0.0,34.0,12:00 ~ 21:00,21.0,https://map.naver.com/p/entry/place/2025484015,restaurant,11
C006,달롱도르요거트아이스크림 역북점 용인시 처인구,1889295145,달롱도르 요거트 아이스크림 역북점,0.0,6,16:00 ~ 02:00,26.0,https://map.naver.com/p/entry/place/1889295145,restaurant,6
C007,브라운리퀴드 용인시 처인구,1224940488,브라운리퀴드,4.76,189,10:00 ~ 21:00,21.0,https://map.naver.com/p/entry/place/1224940488,restaurant,9
C008,달다미로 용인시 처인구,1480248650,달다미로,5.0,208,12:30 ~ 19:00,19.0,https://map.naver.com/p/entry/place/1480248650,restaurant,11
C009,꿀잼키즈룸 용인역북점 용인시 처인구,1298264758,꿀잼키즈룸 용인역북점,0.0,212,09:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1298264758,restaurant,25
C010,반달커피 역북점 용인시 처인구,1955557327,반달커피 마평점,4.56,76,10:00 ~ 20:00,20.0,https://map.naver.com/p/entry/place/1955557327,restaurant,3
C011,더벤티 용인역북점 용인시 처인구,1482036986,더벤티 용인역북점,0.0,515.0,09:00 ~ 21:30,21.5,https://map.naver.com/p/entry/place/1482036986,restaurant,9
C012,19티 용인역북점 용인시 처인구,,,,,,,,,0
C013,요거트월드 역북점 용인시 처인구,1787771281,요거트월드 역북점,0.0,63.0,11:00 ~ 01:00,25.0,https://map.naver.com/p/entry/place/1787771281,restaurant,9
C014,루이지나 용인시 처인구,,,,,,,,,0
C015,컴포즈커피 용인명지대점 용인시 처인구,1183157490,컴포즈커피 용인명지대점,4.63,992.0,09:00 ~ 18:00,18.0,https://map.naver.com/p/entry/place/1183157490,restaurant,6
C016,몬데랜시 용인시 처인구,1830017295,몬데랜시 역북동 디저트카페,0.0,74.0,11:00 ~ 15:00,15.0,https://map.naver.com/p/entry/place/1830017295,restaurant,12
C017,공차 용인역북점 용인시 처인구,1742653002,공차 용인역북점,4.44,1628.0,10:00 ~ 22:00,22.0,https://map.naver.com/p/entry/place/1742653002,restaurant,7
C018,러블리파이마카롱 용인시 처인구,1204840219,러블리 파이 마카롱,4.34,371.0,10:30 ~ 22:00,22.0,https://map.naver.com/p/entry/place/1204840219,restaurant,10
C019,다다온족욕찜질카페 용인시 처인구,2018886597,다다온족욕찜질카페,0.0,116.0,11:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/2018886597,restaurant,21
C020,엔제리너스 롯데시네용인역북점 용인시 처인구,,,,,,,,,0
C021,딸기가좋아 용인점 용인시 처인구,1184699820,딸기가좋아 용인점,4.5,1456.0,11:00 ~ 20:00,20.0,https://map.naver.com/p/entry/place/1184699820,restaurant,10
C022,HED커피 용인시 처인구,,,,,,,,,0
C023,보드빌 용인시 처인구,1729064919,보드빌,4.57,147.0,12:30 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1729064919,restaurant,12
C024,원더플레이키즈 용인점 용인시 처인구,1283333088,원더플레이키즈 용인점,0.0,195.0,09:00 ~ 24:00,24.0,https://map.naver.com/p/entry/place/1283333088,restaurant,13
C025,설빙 경기용인역북점 용인시 처인구,1067407907,설빙 용인역북점,4.59,1325.0,11:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1067407907,restaurant,8
C026,클라드커피 용인시 처인구,1299081119,클라드커피,0.0,118,11:00 ~ 20:00,20.0,https://map.naver.com/p/entry/place/1299081119,restaurant,10
C027,드롭탑 용인역북점 용인시 처인구,1000559258,드롭탑 용인역북점,4.15,413,09:30 ~ 22:00,22.0,https://map.naver.com/p/entry/place/1000559258,restaurant,7
C028,메가번 용인역북점 용인시 처인구,2081597006,메가번 용인역북점,0.0,15,10:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/2081597006,restaurant,6
C029,커피인류 용인역북점 용인시 처인구,1999017894,커피인류 용인역북점,0.0,159,08:30 ~ 21:00,21.0,https://map.naver.com/p/entry/place/1999017894,restaurant,10
C030,지니어스 용인시 처인구,1079357919,카페지니어스,0.0,726,10:00 ~ 24:00,24.0,https://map.naver.com/p/entry/place/1079357919,restaurant,10
C031,빽다방 용인역북남부점 용인시 처인구,1431723367,빽다방 용인역북남부점,4.3,1800.0,08:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1431723367,restaurant,8
C032,우지커피 용인역북점 용인시 처인구,2074674579,우지커피 용인역북점,0.0,24.0,08:00 ~ 22:00,22.0,https://map.naver.com/p/entry/place/2074674579,restaurant,10
C033,사실빙 용인역북점 용인시 처인구,2086620946,사실빙 용인역북점,0.0,2.0,11:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/2086620946,restaurant,4
C034,스타벅스 용인역북점 용인시 처인구,4382073,,,,,,https://map.naver.com/p/entry/place/4382073,restaurant,0
C035,하이오커피 용인역북점 용인시 처인구,1161417048,하이오커피 용인역북점,0.0,286.0,08:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1161417048,restaurant,6
C036,레드버튼 용인역북점 용인시 처인구,1438947731,보드게임카페 레드버튼 용인역북점,0.0,488.0,13:00 ~ 24:00,24.0,https://map.naver.com/p/entry/place/1438947731,restaurant,10
C037,메가MGC커피 용인역북점 용인시 처인구,1016043923,메가MGC커피 용인역북점,4.43,1221.0,08:00 ~ 23:00,23.0,https://map.naver.com/p/entry/place/1016043923,restaurant,7
