cafe_id,sentence,features,is_study_related
C001,"음료, 디저트 맛있어서 좋아하는데",,False
C001,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간,True
C001,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간,True
C001,"라떼, 에이드 마시러 자주 옵니다",,False
C001,라떼를 좋아하는 사람에게 최고,,False
C001,쾌적해서 좋아요,,False
C001,주차한적은 없지만 주차도 편하겠네요~~,조용함,True
C001,역북점 처음 온것도 아니고,,False
C001,계속 지나갈때마다 오는데,,False
C001,숙성된 우유맛으로 마시는데,,False
C001,다 섞어놓으셨더라구요,,False
C001,저는 섞기전에 숙성된 우유맛을 좋아해서,,False
C001,마신다고 하였더니 어차피 받으시면,,False
C001,섞어서 마시는데 머가 문제이냐는듯,,False
C001,멀뚱멀뚱 쳐다만 보셨습니다,,False
C001,밖으로 가지고 나왔다가,,False
C001,일부러 여기까지 들린게 아쉬워,,False
C001,전화로 다시 제조 해달라고 말씀드렸더니,,False
C001,그제서야 알겠다고 하시더라구요,,False
C001,기분탓인지  새로 만들어준 음료맛도,,False
C001,전과 같지 않고 변한것 같은 느낌입니다,,False
C001,직원분도 사장님도 응대도,,False
C001,다 아쉽네요,,False
C001,안녕하세요~ 말씀드린것처럼 섞어놓은게 아니고 얼음 넣기전에 샷을 먼저 넣어드렸습니다,,False
C001,어차피 섞어드실꺼라 미리 샷을 넣어드리기도 합니다,,False
C001,원하시는대로 다시 음료 만들어 드렸습니다,,False
C001,동네에 커스텀커피가 있어 가깝고좋아요,,False
C001,흑임자라떼 고소하고 아메리카노 끝맛이 쓰지않고,,False
C001,다시 찾게 되는맛 리뷰는 처음쓰네요,,False
C001,어쩐지 가볍다 했더니 커피를 주다말았네요,,False
C001,라떼 5500원인데 채워 주지도 않고,,False
C001,무엇보다 커피가 미지근해요,,False
C001,"받은지 5분도 안되어 마셨고,",,False
C001,컵홀더 안끼우고 왔는데도 1도 안뜨거웠어요,,False
C001,스팀때문에 양이 적은거라면 스팀이 너무 많은건 아닐지요,,False
C001,안녕하세요~ 커스텀커피는 전 지점 정량으로 동일하게 제공하고 있습니다~ 주문후 픽업하는 시간까지 뜨거운 라떼의 스팀이 가라 앉아서 양이 적다고 느끼신것같아요~ 추운 날씨로 인해 커피가 빨리 식은건 아닐까 싶네요,,False
C001,다음부터는 더 신경써서 해드리도록 노력하겠습니다,,False
C001,예전 오픈할때 방문하곤 오랜만 방문,,False
C001,사장님은 안 바뀌셨다는데,,False
C001,예전 기억으로 주문한 흑임자크림라떼는,,False
C001,기억속에 남아 있는 그 크림 라떼는,,False
C001,아녔어요~,,False
C001,카페라떼와 흑임자라떼 맛있어요~~,,False
C001,흑임자는 사랑이죠,,False
C001,커스텀커피 넘 맛있어요,,False
C001,이거먹고 스벅 안먹네요,,False
C002,친구랑 잠깐  산책하다  차마시기 좋아요,,False
C002,집앞이라 자주뽑아 먹는ㄷㅔ 커피 맛있어요^^,,False
C004,올해 첫 빙수,,False
C004,너~무 맛있게  잘 먹었어요^^,,False
C004,작년과 스타일이 좀 변했는데  더 맛있어진 것 같아요♡,,False
C004,아이스크림이 너무 맛있어서  연유 없이도  너무   진하고 맛있어요😍,,False
C004,역시 빙수 먹다보면  커피가 생각나죠,,False
C004,ㅎ 밀크팜은 커피마시러도 당연히  오셔야 하는곳 ~,,False
C004,오늘도  친절한  사장님과 함께 맛있는 빙수먹고  잘 쉬다 가요❤️💚🩵🩷💚,,False
C004,늘 이용해 주셔서 감사드립니다 ~^^,,False
