cafe_id,kakao_name,review_id,sentence_id,sentence,features,is_study_related
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S01,"음료, 디저트 맛있어서 좋아하는데",,0
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S02,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간,1
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S03,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간,1
C001,커스텀커피 역북점,C001_R0002,C001_R0002_S01,"라떼, 에이드 마시러 자주 옵니다",,0
C001,커스텀커피 역북점,C001_R0003,C001_R0003_S01,라떼를 좋아하는 사람에게 최고,,0
C001,커스텀커피 역북점,C001_R0003,C001_R0003_S02,쾌적해서 좋아요,,0
C001,커스텀커피 역북점,C001_R0003,C001_R0003_S03,주차한적은 없지만 주차도 편하겠네요~~,조용함,1
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S01,역북점 처음 온것도 아니고,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S02,계속 지나갈때마다 오는데,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S03,숙성된 우유맛으로 마시는데,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S04,다 섞어놓으셨더라구요,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S05,저는 섞기전에 숙성된 우유맛을 좋아해서,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S06,마신다고 하였더니 어차피 받으시면,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S07,섞어서 마시는데 머가 문제이냐는듯,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S08,멀뚱멀뚱 쳐다만 보셨습니다,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S09,밖으로 가지고 나왔다가,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S10,일부러 여기까지 들린게 아쉬워,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S11,전화로 다시 제조 해달라고 말씀드렸더니,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S12,그제서야 알겠다고 하시더라구요,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S13,기분탓인지  새로 만들어준 음료맛도,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S14,전과 같지 않고 변한것 같은 느낌입니다,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S15,직원분도 사장님도 응대도,,0
C001,커스텀커피 역북점,C001_R0004,C001_R0004_S16,다 아쉽네요,,0
C001,커스텀커피 역북점,C001_R0005,C001_R0005_S01,안녕하세요~ 말씀드린것처럼 섞어놓은게 아니고 얼음 넣기전에 샷을 먼저 넣어드렸습니다,,0
C001,커스텀커피 역북점,C001_R0005,C001_R0005_S02,어차피 섞어드실꺼라 미리 샷을 넣어드리기도 합니다,,0
C001,커스텀커피 역북점,C001_R0005,C001_R0005_S03,원하시는대로 다시 음료 만들어 드렸습니다,,0
C001,커스텀커피 역북점,C001_R0006,C001_R0006_S01,동네에 커스텀커피가 있어 가깝고좋아요,,0
C001,커스텀커피 역북점,C001_R0006,C001_R0006_S02,흑임자라떼 고소하고 아메리카노 끝맛이 쓰지않고,,0
C001,커스텀커피 역북점,C001_R0006,C001_R0006_S03,다시 찾게 되는맛 리뷰는 처음쓰네요,,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S01,어쩐지 가볍다 했더니 커피를 주다말았네요,,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S02,라떼 5500원인데 채워 주지도 않고,,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S03,무엇보다 커피가 미지근해요,,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S04,"받은지 5분도 안되어 마셨고,",,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S05,컵홀더 안끼우고 왔는데도 1도 안뜨거웠어요,,0
C001,커스텀커피 역북점,C001_R0007,C001_R0007_S06,스팀때문에 양이 적은거라면 스팀이 너무 많은건 아닐지요,,0
