cafe_id,kakao_name,naver_name,address,latitude,longitude,study_sentiment_score,rating_score,distance_score,raw_final_score,review_confidence,adjusted_final_score,recommend_label,grade,rating,review_count,business_hours,straight_distance_m,study_mention_count,kakao_place_url,naver_map_url,가격대_score,공부 적합성_score,영업시간_score,조용함_score,좌석_score,체류 적합성_score,콘센트_score,혼잡도_score,와이파이_score,is_excluded_type,distance_penalty,presentation_score,presentation_grade,presentation_recommend_label
C001,커스텀커피 역북점,커스텀커피 역북점,경기 용인시 처인구 명지로16번길 9-11,37.23344454359378,127.18713223273777,100.0,95.8,100,99.58,1.0,99.58,1,카공 성지,4.79,933.0,08:40 ~ 23:00,86,3,http://place.map.kakao.com/507340095,https://map.naver.com/p/entry/place/1764797627,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,False,0,99.58,카공 성지,1
C023,보드빌,보드빌,경기 용인시 처인구 명지로40번길 4,37.2327095511323,127.1881051761,100.0,91.4,100,99.14,1.0,99.14,1,카공 성지,4.57,147.0,12:30 ~ 23:00,197,7,http://place.map.kakao.com/1779184799,https://map.naver.com/p/entry/place/1729064919,100.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,True,0,99.14,제외,0
C027,드롭탑 용인역북점,드롭탑 용인역북점,경기 용인시 처인구 중부대로 1294,37.2357104629202,127.1884011271787,100.0,83.0,100,98.3,1.0,98.3,1,카공 성지,4.15,413.0,09:30 ~ 22:00,214,1,http://place.map.kakao.com/1336715068,https://map.naver.com/p/entry/place/1000559258,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,False,0,98.3,카공 성지,1
C004,밀크팜747,밀크팜74.7,경기 용인시 처인구 명지로 24,37.23397204695048,127.18802266757662,100.0,60.0,100,96.0,1.0,96.0,1,카공 성지,0.0,187.0,10:30 ~ 21:00,103,1,http://place.map.kakao.com/554559796,https://map.naver.com/p/entry/place/1070270722,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,False,0,96.0,카공 성지,1
C029,커피인류 용인역북점,커피인류 용인역북점,경기 용인시 처인구 명지로40번길 9,37.232290657215,127.187478714926,100.0,60.0,100,96.0,1.0,96.0,1,카공 성지,0.0,159.0,08:30 ~ 21:00,218,1,http://place.map.kakao.com/773594471,https://map.naver.com/p/entry/place/1999017894,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,False,0,96.0,카공 성지,1
C030,지니어스,카페지니어스,경기 용인시 처인구 명지로60번길 8-14,37.2322176966652,127.188031833694,100.0,60.0,100,96.0,1.0,96.0,1,카공 성지,0.0,726.0,10:00 ~ 24:00,242,6,http://place.map.kakao.com/1669474999,https://map.naver.com/p/entry/place/1079357919,50.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,False,0,96.0,카공 성지,1
C036,레드버튼 용인역북점,보드게임카페 레드버튼 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.2316043176196,127.187884943811,100.0,60.0,85,93.75,1.0,93.75,1,카공 성지,0.0,488.0,13:00 ~ 24:00,302,2,http://place.map.kakao.com/71306187,https://map.naver.com/p/entry/place/1438947731,100.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,True,3,90.75,제외,0
C071,메가MGC커피 명지대역점,메가MGC커피 명지대역점,경기 용인시 처인구 중부대로1299번길 13,37.2374831343718,127.189333027645,100.0,60.0,85,93.75,1.0,93.75,1,카공 성지,0.0,918.0,07:00 ~ 23:00,424,4,http://place.map.kakao.com/2001539738,https://map.naver.com/p/entry/place/1018385169,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,False,3,90.75,카공 성지,1
C007,브라운리퀴드,브라운리퀴드,경기 용인시 처인구 명지로16번길 9-11,37.233258918252,127.187138535349,88.89,95.2,100,91.19,1.0,91.19,1,카공 성지,4.76,189.0,10:00 ~ 21:00,107,4,http://place.map.kakao.com/95154498,https://map.naver.com/p/entry/place/1224940488,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,False,0,91.19,카공 성지,1
C065,처인재,처인재,경기 용인시 처인구 용인대학로 86-1,37.2314619808069,127.174313676027,100.0,60.0,65,90.75,1.0,90.75,1,카공 성지,0.0,172.0,08:30 ~ 21:00,1155,5,http://place.map.kakao.com/469922132,https://map.naver.com/p/entry/place/2008820163,50.0,50.0,50.0,100.0,100.0,100.0,50.0,50.0,50.0,False,7,83.75,추천,1
